sr no ,rank,cutoff,intitute name,branch,Exam
152,89734,14.7852363,"2136 - Aditya Engineering College , Beed",Food Engineering and Technology,MHT-CET
153,89735,14.7852363,"4118 - Bapurao Deshmukh College of Engineering, Sevagram","Electronics and Telecommunication
Engg",MHT-CET
154,89750,14.7852363,"6839 - Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Civil Engineering,MHT-CET
155,89758,14.736657,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik","Electronics and Telecommunication
Engg",MHT-CET
156,89864,14.5049629,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Electrical Engineering,MHT-CET
157,89887,14.4002701,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik",Chemical Engineering,MHT-CET
158,89959,14.2604149,"5161 - Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Electrical Engineering,MHT-CET
159,89974,14.2604149,"6307 - Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal.
Haveli",Automobile Engineering,MHT-CET
160,90027,13.5830691,3220 - Yadavrao Tasgaonkar College of Engineering & Management,Computer Engineering,MHT-CET
161,90052,13.5830691,"3216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri","Electronics and Telecommunication
Engg",MHT-CET
162,90165,13.2928186,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Civil Engineering,MHT-CET
163,90166,13.2928186,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",Instrumentation Engineering,MHT-CET
164,90200,13.2928186,"6545 - Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi,
Varye,Satara.",Electrical Engineering,MHT-CET
165,90213,13.2432005,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","Electronics and Telecommunication
Engg",MHT-CET
166,90246,13.2432005,"3503 - Indala College Of Engineering, Bapsai Tal.Kalyan",Electrical Engineering,MHT-CET
167,90332,12.4945045,"6160 - JSPM's Imperial College of Engineering and Research, Wagholi, Pune",Civil Engineering,MHT-CET
168,90381,12.3706299,"6139 - Progressive Education Society's Modern College of Engineering, Pune",Mechanical Engineering,MHT-CET
169,90398,12.3677962,"1121 - Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology,
Amravati",Mechanical Engineering,MHT-CET
170,90483,12.1971807,"5169 - Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist
Dhule",Computer Engineering,MHT-CET
171,90569,12.0860789,"6786 - Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon,
Pune","Electronics and Telecommunication
Engg",MHT-CET
172,90589,12.0256367,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",Computer Science and Engineering,MHT-CET
173,90676,11.5078019,"5161 - Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Civil Engineering,MHT-CET
174,90710,11.356844,"3193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai","Electronics and Telecommunication
Engg",MHT-CET
175,90772,11.2581686,"3216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Civil Engineering,MHT-CET
176,90822,11.1101601,"4192 - Maitraya Education Society, Nagarjuna Institute of Engineering Technology &
Management, Nagpur",Computer Science and Engineering,MHT-CET
177,90844,10.9819734,"6635 - Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune","Electronics and Telecommunication
Engg",MHT-CET
178,90863,10.9819734,"5151 - MET Bhujbal Knowledge City MET League's Engineering College, Adgaon,
Nashik.","Electronics and Telecommunication
Engg",MHT-CET
